county_fips,margin_2012,margin_2016,margin_2020,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,year,state,state_po,state_county,county_name,totalvotes,aggvotes_D,aggvotes_R,aggvotes_G,aggvotes_L,aggvotes_O,unique_id,proportion_D,proportion_R,proportion_G,proportion_L,proportion_O,proportion_explained_by_DR,votemargin_DR,norm_votes,log_votes
41041,0.20514270797076228,0.09748178650617678,0.16028770422443533,-0.1076609214645855,0.06280591771825855,0.1076609214645855,0.06280591771825855,2012,OREGON,OR,OR-LINCOLN,LINCOLN,22984,13401,8686,0,0,897,2012_41041,0.5830577793247477,0.3779150713539854,0,0,0.03902714932126697,0.9609728506787331,0.20514270797076228,0.005389782535031593,10.042597108240328
41041,0.20514270797076228,0.09748178650617678,0.16028770422443533,-0.1076609214645855,0.06280591771825855,0.1076609214645855,0.06280591771825855,2016,OREGON,OR,OR-LINCOLN,LINCOLN,25256,12501,10039,0,0,2716,2016_41041,0.49497149192271145,0.39748970541653467,0,0,0.10753880266075388,0.8924611973392461,0.09748178650617678,0.005922569948866948,10.136858624005773
41041,0.20514270797076228,0.09748178650617678,0.16028770422443533,-0.1076609214645855,0.06280591771825855,0.1076609214645855,0.06280591771825855,2020,OREGON,OR,OR-LINCOLN,LINCOLN,30726,17385,12460,214,462,205,2020_41041,0.5658074594805702,0.4055197552561349,0.0069647855236607435,0.015036125756688147,0.006671873982946039,0.9713272147367051,0.16028770422443533,0.007205293167915973,10.332897025887751
42031,-0.3566044730013592,-0.47351012261191905,-0.5078746216590572,-0.11690564961055983,-0.03436449904713812,0.11690564961055983,0.03436449904713812,2000,PENNSYLVANIA,PA,PA-CLARION,CLARION,15843,5605,9796,293,0,149,2000_42031,0.35378400555450357,0.618317237896863,0.018493972101243452,0,0.009404784447390015,0.9721012434513665,-0.2645332323423594,0.003715207305190808,9.670546158741807
42031,-0.3566044730013592,-0.47351012261191905,-0.5078746216590572,-0.11690564961055983,-0.03436449904713812,0.11690564961055983,0.03436449904713812,2004,PENNSYLVANIA,PA,PA-CLARION,CLARION,17184,6049,11063,0,0,72,2004_42031,0.3520135009310987,0.6437965549348231,0,0,0.004189944134078212,0.9958100558659218,-0.29178305400372445,0.0040296738201350026,9.751792189283934
42031,-0.3566044730013592,-0.47351012261191905,-0.5078746216590572,-0.11690564961055983,-0.03436449904713812,0.11690564961055983,0.03436449904713812,2008,PENNSYLVANIA,PA,PA-CLARION,CLARION,17765,6756,10737,0,0,272,2008_42031,0.38029833943146635,0.6043906557838447,0,0,0.015311004784688996,0.9846889952153111,-0.2240923163523783,0.00416591919312723,9.785041797329646
42031,-0.3566044730013592,-0.47351012261191905,-0.5078746216590572,-0.11690564961055983,-0.03436449904713812,0.11690564961055983,0.03436449904713812,2012,PENNSYLVANIA,PA,PA-CLARION,CLARION,16186,5056,10828,0,0,302,2012_42031,0.3123687137032003,0.6689731867045595,0,0,0.01865809959224021,0.9813419004077598,-0.3566044730013592,0.0037956413205717616,9.69196372993396
42031,-0.3566044730013592,-0.47351012261191905,-0.5078746216590572,-0.11690564961055983,-0.03436449904713812,0.11690564961055983,0.03436449904713812,2016,PENNSYLVANIA,PA,PA-CLARION,CLARION,17535,4273,12576,0,0,686,2016_42031,0.2436840604505275,0.7171941830624465,0,0,0.03912175648702595,0.960878243512974,-0.47351012261191905,0.004111983847536503,9.772011189747742
42031,-0.3566044730013592,-0.47351012261191905,-0.5078746216590572,-0.11690564961055983,-0.03436449904713812,0.11690564961055983,0.03436449904713812,2020,PENNSYLVANIA,PA,PA-CLARION,CLARION,19493,4678,14578,0,237,0,2020_42031,0.23998358385061305,0.7478582055096702,0,0.012158210639716822,0,0.9878417893602832,-0.5078746216590572,0.0045711377895653865,9.877862004897155
42059,-0.1780973451327434,-0.4038949505201725,-0.4339804176806837,-0.2257976053874291,-0.030085467160511192,0.2257976053874291,0.030085467160511192,2000,PENNSYLVANIA,PA,PA-GREENE,GREENE,13634,7230,5890,337,0,177,2000_42059,0.5302919172656594,0.43200821475722456,0.02471761772040487,0,0.012982250256711163,0.9623001320228839,0.09828370250843482,0.0031971934860172617,9.52039529527969
42059,-0.1780973451327434,-0.4038949505201725,-0.4339804176806837,-0.2257976053874291,-0.030085467160511192,0.2257976053874291,0.030085467160511192,2004,PENNSYLVANIA,PA,PA-GREENE,GREENE,15565,7674,7786,0,0,105,2004_42059,0.4930292322518471,0.5002248634757469,0,0,0.006745904272406039,0.9932540957275939,-0.007195631223899823,0.003650015887476799,9.652844327519334
42059,-0.1780973451327434,-0.4038949505201725,-0.4339804176806837,-0.2257976053874291,-0.030085467160511192,0.2257976053874291,0.030085467160511192,2008,PENNSYLVANIA,PA,PA-GREENE,GREENE,15961,7829,7889,0,0,243,2008_42059,0.49050811352672136,0.4942672764864357,0,0,0.01522460998684293,0.9847753900131571,-0.003759162959714346,0.0037428784824938767,9.677966176435953
42059,-0.1780973451327434,-0.4038949505201725,-0.4339804176806837,-0.2257976053874291,-0.030085467160511192,0.2257976053874291,0.030085467160511192,2012,PENNSYLVANIA,PA,PA-GREENE,GREENE,14464,5852,8428,0,0,184,2012_42059,0.4045907079646018,0.5826880530973452,0,0,0.012721238938053098,0.9872787610619469,-0.1780973451327434,0.0033918297331490153,9.579487217410236
42059,-0.1780973451327434,-0.4038949505201725,-0.4339804176806837,-0.2257976053874291,-0.030085467160511192,0.2257976053874291,0.030085467160511192,2016,PENNSYLVANIA,PA,PA-GREENE,GREENE,15764,4482,10849,0,0,433,2016_42059,0.28431870083735095,0.6882136513575234,0,0,0.027467647805125603,0.9725323521948743,-0.4038949505201725,0.0036966816864879063,9.665547571979161
42059,-0.1780973451327434,-0.4038949505201725,-0.4339804176806837,-0.2257976053874291,-0.030085467160511192,0.2257976053874291,0.030085467160511192,2020,PENNSYLVANIA,PA,PA-GREENE,GREENE,17669,4911,12579,0,179,0,2020_42059,0.27794442243477274,0.7119248401154564,0,0.010130737449770786,0,0.9898692625502292,-0.4339804176806837,0.004143407048880666,9.779623565313742
42069,0.2729480181604857,0.03478773584905659,0.08367559136989855,-0.2381602823114291,0.04888785552084196,0.2381602823114291,0.04888785552084196,2000,PENNSYLVANIA,PA,PA-LACKAWANNA,LACKAWANNA,96381,57471,35096,2134,0,1680,2000_42069,0.5962897251532978,0.3641381600107905,0.022141293408451872,0,0.017430821427459768,0.9604278851640884,0.2321515651425073,0.022601489319042812,11.476074741172214
42069,0.2729480181604857,0.03478773584905659,0.08367559136989855,-0.2381602823114291,0.04888785552084196,0.2381602823114291,0.04888785552084196,2004,PENNSYLVANIA,PA,PA-LACKAWANNA,LACKAWANNA,105819,59573,44766,0,0,1480,2004_42069,0.5629707330441603,0.42304312080061235,0,0,0.013986146155227322,0.9860138538447727,0.139927612243548,0.02481471450028316,11.569494816458123
42069,0.2729480181604857,0.03478773584905659,0.08367559136989855,-0.2381602823114291,0.04888785552084196,0.2381602823114291,0.04888785552084196,2008,PENNSYLVANIA,PA,PA-LACKAWANNA,LACKAWANNA,107866,67520,39488,0,0,858,2008_42069,0.6259618415441381,0.3660838447703632,0,0,0.0079543136854986745,0.9920456863145013,0.25987799677377493,0.02529473907604063,11.588654265728447
42069,0.2729480181604857,0.03478773584905659,0.08367559136989855,-0.2381602823114291,0.04888785552084196,0.2381602823114291,0.04888785552084196,2012,PENNSYLVANIA,PA,PA-LACKAWANNA,LACKAWANNA,98015,61838,35085,0,0,1092,2012_42069,0.6309034331479876,0.3579554149875019,0,0,0.011141151864510535,0.9888588481354894,0.2729480181604857,0.022984664774239542,11.492886009632501
42069,0.2729480181604857,0.03478773584905659,0.08367559136989855,-0.2381602823114291,0.04888785552084196,0.2381602823114291,0.04888785552084196,2016,PENNSYLVANIA,PA,PA-LACKAWANNA,LACKAWANNA,103456,51983,48384,0,0,3089,2016_42069,0.5024648159604083,0.4676770801113517,0,0,0.029858103928240023,0.9701418960717599,0.03478773584905659,0.024260587449714086,11.546911346423387
42069,0.2729480181604857,0.03478773584905659,0.08367559136989855,-0.2381602823114291,0.04888785552084196,0.2381602823114291,0.04888785552084196,2020,PENNSYLVANIA,PA,PA-LACKAWANNA,LACKAWANNA,115410,61991,52334,0,1085,0,2020_42069,0.5371371631574386,0.4534615717875401,0,0.009401265055021228,0,0.9905987349449787,0.08367559136989855,0.02706381841141647,11.656254949137331
42079,0.048071745996030146,-0.19437262470088829,-0.14385504921048003,-0.24244437069691843,0.05051757549040825,0.24244437069691843,0.05051757549040825,2000,PENNSYLVANIA,PA,PA-LUZERNE,LUZERNE,119586,62199,52328,3456,0,1603,2000_42079,0.520119411971301,0.43757630491863597,0.028899703978726606,0,0.013404579131336443,0.9576957168899369,0.08254310705266499,0.028043096686142015,11.691799418938693
42079,0.048071745996030146,-0.19437262470088829,-0.14385504921048003,-0.24244437069691843,0.05051757549040825,0.24244437069691843,0.05051757549040825,2004,PENNSYLVANIA,PA,PA-LUZERNE,LUZERNE,136028,69573,64953,0,0,1502,2004_42079,0.5114608757020613,0.4774972799717705,0,0,0.011041844326168141,0.9889581556738318,0.03396359573029084,0.03189877039137128,11.820623377280892
42079,0.048071745996030146,-0.19437262470088829,-0.14385504921048003,-0.24244437069691843,0.05051757549040825,0.24244437069691843,0.05051757549040825,2008,PENNSYLVANIA,PA,PA-LUZERNE,LUZERNE,135163,72492,61127,0,0,1544,2008_42079,0.5363302087109638,0.45224654676205767,0,0,0.011423244526978536,0.9885767554730215,0.08408366194890615,0.03169592659164964,11.814244134944918
42079,0.048071745996030146,-0.19437262470088829,-0.14385504921048003,-0.24244437069691843,0.05051757549040825,0.24244437069691843,0.05051757549040825,2012,PENNSYLVANIA,PA,PA-LUZERNE,LUZERNE,124439,64307,58325,0,0,1807,2012_42079,0.5167752874902563,0.4687035414942261,0,0,0.014521171015517644,0.9854788289844824,0.048071745996030146,0.029181132478106355,11.731578951011572
42079,0.048071745996030146,-0.19437262470088829,-0.14385504921048003,-0.24244437069691843,0.05051757549040825,0.24244437069691843,0.05051757549040825,2016,PENNSYLVANIA,PA,PA-LUZERNE,LUZERNE,134983,52451,78688,0,0,3844,2016_42079,0.38857485757465754,0.5829474822755458,0,0,0.028477660149796642,0.9715223398502033,-0.19437262470088829,0.031653716321187325,11.812911531878173
42079,0.048071745996030146,-0.19437262470088829,-0.14385504921048003,-0.24244437069691843,0.05051757549040825,0.24244437069691843,0.05051757549040825,2020,PENNSYLVANIA,PA,PA-LUZERNE,LUZERNE,153321,64873,86929,0,1519,0,2020_42079,0.42311881607868457,0.5669738652891646,0,0.009907318632150847,0,0.9900926813678492,-0.14385504921048003,0.03595400487528624,11.940295564021985
