county_fips,margin_2012,margin_2016,margin_2020,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20
31145,-0.595421393841167,-0.6988394584139266,-0.6812179016874541,-0.1034180645727596,0.017621556726472476,0.1034180645727596,0.017621556726472476
31147,-0.3348488900775608,-0.5127463863337713,-0.5033931168201649,-0.17789749625621054,0.009353269513606488,0.17789749625621054,0.009353269513606488
31149,-0.7211660329531051,-0.7731829573934836,-0.7847800237812129,-0.05201692444037853,-0.011597066387729282,0.05201692444037853,0.011597066387729282
31151,-0.05405405405405411,-0.2474688473520249,-0.28509532062391685,-0.1934147932979708,-0.03762647327189195,0.1934147932979708,0.03762647327189195
31153,-0.2313890054553085,-0.21233556713824775,-0.11260230158979018,0.019053438317060745,0.09973326554845757,0.019053438317060745,0.09973326554845757
31155,-0.33582234290147406,-0.4633517495395948,-0.4536317235963879,-0.12752940663812073,0.009720025943206867,0.12752940663812073,0.009720025943206867
31157,-0.3724364807167355,-0.479779283369421,-0.43674445665524597,-0.10734280265268548,0.04303482671417502,0.10734280265268548,0.04303482671417502
31159,-0.34556978740261457,-0.4517798535723302,-0.44322905272369284,-0.10621006616971562,0.008550800848637352,0.10621006616971562,0.008550800848637352
31161,-0.6597896440129449,-0.7377300613496933,-0.7305389221556886,-0.07794041733674839,0.007191139194004714,0.07794041733674839,0.007191139194004714
31163,-0.24509803921568624,-0.5149396058486968,-0.5765606595995288,-0.26984156663301057,-0.061621053750832044,0.26984156663301057,0.061621053750832044
31165,-0.7077131258457374,-0.7269021739130436,-0.7818930041152263,-0.019189048067306147,-0.05499083020218276,0.019189048067306147,0.05499083020218276
31167,-0.5049167927382754,-0.6319171724384148,-0.6418854792787092,-0.12700037970013944,-0.009968306840294372,0.12700037970013944,0.009968306840294372
31169,-0.43098909364422716,-0.5769516728624535,-0.5651006711409395,-0.14596257921822636,0.011851001721513987,0.14596257921822636,0.011851001721513987
31171,-0.7794117647058824,-0.7989821882951654,-0.7775175644028103,-0.01957042358928307,0.02146462389235515,0.01957042358928307,0.02146462389235515
31173,0.13905191873589168,-0.05938697318007663,-0.0249462365591398,-0.1984388919159683,0.03444073662093683,0.1984388919159683,0.03444073662093683
31175,-0.5280182232346242,-0.6535147392290249,-0.6363247863247863,-0.1254965159944007,0.017189952904238637,0.1254965159944007,0.017189952904238637
31177,-0.36765567050556314,-0.44322378138847857,-0.40513977281881897,-0.07556811088291543,0.0380840085696596,0.07556811088291543,0.0380840085696596
31179,-0.38538837588267244,-0.49205508474576265,-0.484047619047619,-0.10666670886309021,0.008007465698143645,0.10666670886309021,0.008007465698143645
31181,-0.4684270952927669,-0.5995316159250585,-0.626865671641791,-0.13110452063229167,-0.02733405571673242,0.13110452063229167,0.02733405571673242
31183,-0.5625,-0.6774193548387097,-0.7549800796812749,-0.11491935483870974,-0.07756072484256515,0.11491935483870974,0.07756072484256515
31185,-0.5509047993705743,-0.5506973828553519,-0.5189696206075878,2.074165152224916e-4,0.03172776224776408,2.074165152224916e-4,0.03172776224776408
32510,-0.09018397015309404,-0.1405100735529261,-0.11358821749218195,-0.05032610339983207,0.026921856060744154,0.05032610339983207,0.026921856060744154
32001,-0.39941548952752076,-0.5138050831961968,-0.49056750252309606,-0.11438959366867602,0.023237580673100722,0.11438959366867602,0.023237580673100722
32003,0.14595552597693834,0.10710989681368588,0.0935588311522686,-0.03884562916325246,-0.013551065661417283,0.03884562916325246,0.013551065661417283
32005,-0.2676510067114094,-0.3213555675094137,-0.29466248497816333,-0.053704560798004286,0.026693082531250356,0.053704560798004286,0.026693082531250356
32007,-0.5319029150506693,-0.5469044668354976,-0.5546750466821515,-0.015001551784828315,-0.007770579846653858,0.015001551784828315,0.007770579846653858
32009,-0.5172413793103448,-0.624113475177305,-0.6729166666666666,-0.10687209586696023,-0.04880319148936163,0.10687209586696023,0.04880319148936163
32011,-0.6881188118811881,-0.7599531615925059,-0.7767857142857143,-0.07183434971131786,-0.01683255269320838,0.07183434971131786,0.01683255269320838
32013,-0.3608983286908078,-0.4873309497901446,-0.5389267790503153,-0.12643262109933678,-0.0515958292601707,0.12643262109933678,0.0515958292601707
32015,-0.4831408775981525,-0.5905511811023622,-0.6155515370705245,-0.10741030350420966,-0.025000355968162302,0.10741030350420966,0.025000355968162302
32017,-0.599907063197026,-0.650093808630394,-0.7101390024529844,-0.050186745433367985,-0.06004519382259044,0.050186745433367985,0.06004519382259044
32019,-0.2860470533426508,-0.4149061526807508,-0.4113268715471898,-0.12885909933810002,0.003579281133561041,0.12885909933810002,0.003579281133561041
32021,-0.1066339066339066,-0.27140711066599904,-0.2561237645036528,-0.16477320403209245,0.015283346162346223,0.16477320403209245,0.015283346162346223
32023,-0.24232393562378723,-0.4200051033426894,-0.4035308953341741,-0.1776811677189022,0.016474208008515345,0.1776811677189022,0.016474208008515345
32027,-0.2839702760084926,-0.49091826437941466,-0.5103448275862069,-0.20694798837092204,-0.019426563206792258,0.20694798837092204,0.019426563206792258
32029,-0.17329299913569574,-0.3377638780297107,-0.34902370990237097,-0.16447087889401496,-0.011259831872660275,0.16447087889401496,0.011259831872660275
32031,0.03702855926113224,0.012486363138312306,0.04524202638555941,-0.024542196122819937,0.0327556632472471,0.024542196122819937,0.0327556632472471
32033,-0.43682505399568033,-0.5343228200371057,-0.5830850332340133,-0.0974977660414254,-0.048762213196907545,0.0974977660414254,0.048762213196907545
33001,-0.04960750752523169,-0.16544442859181052,-0.10432132531061966,-0.11583692106657884,0.06112310328119086,0.11583692106657884,0.06112310328119086
33003,-0.008044208170117473,-0.05564559697460836,0.015020619487673526,-0.047601388804490885,0.07066621646228188,0.047601388804490885,0.07066621646228188
33005,0.24717742910330492,0.12383339300632534,0.17241067390321124,-0.12334403609697958,0.0485772808968859,0.12334403609697958,0.0485772808968859
33007,0.1753279836963444,-0.08888462276828563,-0.05915834090221006,-0.26421260646463,0.029726281866075566,0.26421260646463,0.029726281866075566
33009,0.23707784919906133,0.1855794963958508,0.2459882148019123,-0.05149835280321052,0.06040871840606149,0.05149835280321052,0.06040871840606149
33011,0.011241199579913652,-0.001979855900110683,0.0767252241914601,-0.013221055480024335,0.07870508009157079,0.013221055480024335,0.07870508009157079
33013,0.1271087480434297,0.030174062739097174,0.09823506486275824,-0.09693468530433252,0.06806100212366106,0.09693468530433252,0.06806100212366106
33015,-0.045646318779009376,-0.05761323676929353,0.021157154498536168,-0.011966917990284154,0.0787703912678297,0.011966917990284154,0.0787703912678297
33017,0.14535647279549713,0.08437681159420285,0.1526169900538073,-0.06097966120129428,0.06824017845960445,0.06097966120129428,0.06824017845960445
33019,0.13268297151232028,-0.02583432526561741,0.036177194421657066,-0.1585172967779377,0.062011519687274474,0.1585172967779377,0.062011519687274474
34001,0.16856483976709458,0.07020146473301447,0.06691375481143463,-0.0983633750340801,-0.00328770992157984,0.0983633750340801,0.00328770992157984
34003,0.11334511308824174,0.13279878653743415,0.16446539168174185,0.01945367344919241,0.03166660514430769,0.01945367344919241,0.03166660514430769
34005,0.18049792531120334,0.14822579392809998,0.1959869520491631,-0.032272131383103364,0.04776115812106313,0.032272131383103364,0.04776115812106313
34007,0.37353833596536373,0.3269577037141646,0.33579980046558033,-0.04658063225119913,0.008842096751415729,0.04658063225119913,0.008842096751415729
34009,-0.08604034966931634,-0.1990066089241,-0.15970128564992903,-0.11296625925478365,0.03930532327417097,0.11296625925478365,0.03930532327417097
34011,0.24229544961296384,0.06143989334123395,0.06072939366747848,-0.1808555562717299,-7.104996737554714e-4,0.1808555562717299,7.104996737554714e-4
34013,0.568320798365779,0.5713784918986022,0.5541236740213895,0.003057693532823258,-0.017254817877212725,0.003057693532823258,0.017254817877212725
34015,0.10768126877043482,-0.004830086998896366,0.019472470953467658,-0.11251135576933119,0.024302557952364023,0.11251135576933119,0.024302557952364023
34017,0.5606924416720673,0.5236421652421652,0.46329397638583153,-0.03705027642990211,-0.060348188856333695,0.03705027642990211,0.060348188856333695
34019,-0.17762504887659036,-0.13854537240950932,-0.04387360224116238,0.03907967646708105,0.09467177016834694,0.03907967646708105,0.09467177016834694
34021,0.3714522086365146,0.3742565275444167,0.40141219904418923,0.002804318907902059,0.02715567149977255,0.002804318907902059,0.02715567149977255
34023,0.27627233957818226,0.21493581762761338,0.22113088401066355,-0.06133652195056888,0.006195066383050174,0.06133652195056888,0.006195066383050174
34025,-0.05059546866306541,-0.09396997871981727,-0.027811641381352947,-0.04337451005675186,0.06615833733846432,0.04337451005675186,0.06615833733846432
34027,-0.10906716155361662,-0.04321608842885444,0.042586244913504545,0.06585107312476218,0.08580233334235898,0.06585107312476218,0.08580233334235898
34029,-0.17579942294299078,-0.3350646226518249,-0.2877873950268801,-0.15926519970883413,0.047277227624944795,0.15926519970883413,0.047277227624944795
34031,0.2824526891882981,0.2251362922351926,0.16578828556996428,-0.057316396953105475,-0.059348006665228326,0.057316396953105475,0.059348006665228326
