unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,margin_2012,margin_2016,margin_2020,totalvotes,Education,Immigration,Income,Unemployment,Marital
2020_38025,2020,ND,DUNN,-68.8,98.1,-13.9,-5.8,13.9,5.8,-49.1,-63,-68.8,2338,19.1,2.9000000000000004,48.4,1.1,29.2
2020_38031,2020,ND,FOSTER,-55.6,97.6,-26.9,-3.6,26.9,3.6,-25.1,-52,-55.6,1778,25.3,0.5,31.2,0.2,22.9
2020_38035,2020,ND,GRAND FORKS,-13.3,96.4,-14.7,4.8,14.7,4.8,-3.4,-18.1,-13.3,30970,36.2,5.5,25.2,2.7,45.4
2020_38039,2020,ND,GRIGGS,-47.9,97.2,-25.9,-4.5,25.9,4.5,-17.5,-43.4,-47.9,1250,27.5,2.9000000000000004,25.3,0.9,28
2020_38045,2020,ND,LAMOURE,-50.4,97.9,-16.5,-4.9,16.5,4.9,-29,-45.5,-50.4,2219,25.1,0.8,31.4,0.5,21.9
2020_38049,2020,ND,MCHENRY,-59.9,97.5,-28.2,-4.6,28.2,4.6,-27.1,-55.3,-59.9,3003,20.4,1.2,35.8,2.9,27.7
2020_38053,2020,ND,MCKENZIE,-67.7,97.7,-19.2,-4.1,19.2,4.1,-44.4,-63.6,-67.7,5419,26.8,2.9000000000000004,42.4,2.5,46.8
2020_38061,2020,ND,MOUNTRAIL,-37.6,98,-17,-4.5,17,4.5,-16.2,-33.2,-37.6,4165,21.5,2.3,38.6,2.8,37.4
2020_38065,2020,ND,OLIVER,-74,98.2,-29.2,-4.1,29.2,4.1,-40.7,-69.9,-74,1066,19.6,0.4,35.5,1.6,19.1
2020_38071,2020,ND,RAMSEY,-36.1,97.1,-22.2,-3.8,22.2,3.8,-10,-32.3,-36.1,5372,26.3,2.9000000000000004,24.4,0.4,33.1
2020_38073,2020,ND,RANSOM,-19.3,96.3,-29.5,-3.5,29.5,3.5,13.8,-15.8,-19.3,2454,20.5,5.2,32,2.1,27.2
2020_38079,2020,ND,ROLETTE,32.2,98.3,-26.2,8.7,26.2,8.7,49.7,23.5,32.2,3804,19,0.3,19.4,3.8,47.8
2020_38081,2020,ND,SARGENT,-25.5,96.8,-29.5,-5.8,29.5,5.8,9.8,-19.7,-25.5,2070,18.6,4,33.900000000000006,0.9,26.2
2020_38085,2020,ND,SIOUX,46,89.5,-18.6,5.6,18.6,5.6,59,40.4,46,1186,14.5,0.1,15.7,9.1,55.1
2020_38087,2020,ND,SLOPE,-78.7,99.3,-15.1,-4.5,15.1,4.5,-59,-74.2,-78.7,427,25.9,0.3,34.9,1.3,21.1
